suburb,postcode,state,state_code
Carlton (NSW),2218,New South Wales,NSW
Sandringham (NSW),2219,New South Wales,NSW
Hurstville,2220,New South Wales,NSW
South Hurstville,2221,New South Wales,NSW
Penshurst (NSW),2222,New South Wales,NSW
Mortdale,2223,New South Wales,NSW
Sylvania Waters,2224,New South Wales,NSW
Oyster Bay,2225,New South Wales,NSW
Como (NSW),2226,New South Wales,NSW
Gymea Bay,2227,New South Wales,NSW
Gymea Bay,2228,New South Wales,NSW
Caringbah,2229,New South Wales,NSW
Burraneer,2230,New South Wales,NSW
Kurnell,2231,New South Wales,NSW
Sutherland (NSW),2232,New South Wales,NSW
Heathcote (NSW),2233,New South Wales,NSW
Barden Ridge,2234,New South Wales,NSW
Narara,2250,New South Wales,NSW
Avoca Beach,2251,New South Wales,NSW
Woy Woy,2256,New South Wales,NSW
Ettalong Beach,2257,New South Wales,NSW
Ourimbah,2258,New South Wales,NSW
Jilliby,2259,New South Wales,NSW
Terrigal,2260,New South Wales,NSW
Bateau Bay,2261,New South Wales,NSW
Buff Point,2262,New South Wales,NSW
Lake Haven,2263,New South Wales,NSW
Mandalong,2264,New South Wales,NSW
Cooranbong,2265,New South Wales,NSW
Wangi Wangi,2267,New South Wales,NSW
Barnsley,2278,New South Wales,NSW
Floraville,2280,New South Wales,NSW
Swansea (NSW),2281,New South Wales,NSW
Warners Bay,2282,New South Wales,NSW
Bolton Point,2283,New South Wales,NSW
Speers Point,2284,New South Wales,NSW
Macquarie Hills,2285,New South Wales,NSW
Holmesville,2286,New South Wales,NSW
Fletcher (NSW),2287,New South Wales,NSW
Adamstown Heights,2289,New South Wales,NSW
Whitebridge,2290,New South Wales,NSW
Merewether,2291,New South Wales,NSW
Broadmeadow,2292,New South Wales,NSW
Wickham (NSW),2293,New South Wales,NSW
Carrington (Newcastle - NSW),2294,New South Wales,NSW
Stockton (NSW),2295,New South Wales,NSW
Islington,2296,New South Wales,NSW
Tighes Hill,2297,New South Wales,NSW
Waratah West,2298,New South Wales,NSW
North Lambton,2299,New South Wales,NSW
Newcastle,2300,New South Wales,NSW
Newcastle West,2302,New South Wales,NSW
Hamilton (NSW),2303,New South Wales,NSW
Mayfield (Newcastle - NSW),2304,New South Wales,NSW
New Lambton,2305,New South Wales,NSW
Windale,2306,New South Wales,NSW
Shortland,2307,New South Wales,NSW
Callaghan,2308,New South Wales,NSW
Carrabolla,2311,New South Wales,NSW
Nabiac,2312,New South Wales,NSW
Corlette,2315,New South Wales,NSW
Anna Bay,2316,New South Wales,NSW
Soldiers Point,2317,New South Wales,NSW
Medowie,2318,New South Wales,NSW
Lemon Tree Passage,2319,New South Wales,NSW
Telarah,2320,New South Wales,NSW
Gillieston Heights,2321,New South Wales,NSW
Tarro,2322,New South Wales,NSW
East Maitland,2323,New South Wales,NSW
Swan Bay (Port Stephens - NSW),2324,New South Wales,NSW
Cessnock,2325,New South Wales,NSW
Weston (NSW),2326,New South Wales,NSW
Stanford Merthyr,2327,New South Wales,NSW
Denman,2328,New South Wales,NSW
Cassilis (NSW),2329,New South Wales,NSW
Singleton (NSW),2330,New South Wales,NSW
Singleton Military Area,2331,New South Wales,NSW
Edderton,2333,New South Wales,NSW
Greta (NSW),2334,New South Wales,NSW
Branxton,2335,New South Wales,NSW
Aberdeen (NSW),2336,New South Wales,NSW
Scone,2337,New South Wales,NSW
Murrurundi,2338,New South Wales,NSW
Cattle Creek (NSW),2339,New South Wales,NSW
East Tamworth,2340,New South Wales,NSW
Werris Creek,2341,New South Wales,NSW
Currabubula,2342,New South Wales,NSW
Bundella,2343,New South Wales,NSW
Duri,2344,New South Wales,NSW
Attunga,2345,New South Wales,NSW
Manilla,2346,New South Wales,NSW
Red Hill (Tamworth Regional - NSW),2347,New South Wales,NSW
Armidale,2350,New South Wales,NSW
Kootingal,2352,New South Wales,NSW
Moonbi,2353,New South Wales,NSW
Yarrowitch,2354,New South Wales,NSW
